Order,Date,BCS,ULVR,Rf,Rm,SMB,HML,UMD
60,Jan-201,13.961012,1927.355469,0.000241696,0.063749574,-0.01047003,0.00749149,0.00930991
59,Feb-201,13.51653,1973.155518,0.000275038,0.022755034,0.02144027,-0.03851745,0.06584462
58,Mar-201,13.083434,2106.824951,0.000308381,0.014098459,0.00446793,-0.03000798,0.05985424
57,Apr-201,13.245504,2108.338623,0.000275038,0.005816853,0.00718743,0.00757186,0.03610676
56,May-201,14.136886,2100.014404,0.000258367,0.029115813,0.01899875,0.00407687,0.01484861
55,Jun-201,12.6556,2031.119629,0.000275038,-0.049911366,0.02964676,-0.01325649,0.04651048
54,Jul-201,12.921723,2036.460083,0.000250031,0.067799512,0.01118447,0.01617778,0.0364866
53,Aug-201,12.914327,1876.228882,0.000225025,-0.022150983,0.02932642,-0.00122901,-0.04478809
52,Sep-201,13.715241,1877.94519,0.000291709,0.011161834,0.01294607,0.02408101,0.02166447
51,Oct-2013,13.53012,1943.365112,0.000266702,0.042894479,-0.00316736,0.00893954,0.03136815
50,Nov-2013,14.310855,1900.265015,0.000241696,-0.006975557,0.01729014,-0.00299615,0.02465237
49,Dec-2013,14.651024,1927.607178,0.00021669,0.018366629,0.00995772,0.00575308,0.0280121
48,Jan-201,14.465159,1816.548584,0.000300045,-0.030524427,0.05117162,0.01253681,0.03301348
47,Feb-201,13.73786,1895.765381,0.000316717,0.052428131,-0.01040651,0.00647319,-0.00849747
46,Mar-201,12.856153,2008.128174,0.000350061,-0.026054567,0.00281846,-0.02521563,-0.02402737
45,Apr-201,14.010748,2073.210205,0.000283374,0.021630622,-0.0506994,0.0377159,-0.06489442
44,May-201,13.527618,2101.438232,0.000233361,0.013692901,-0.00648134,-0.01954972,-0.01861928
43,Jun-201,12.011243,2097.619873,0.000350061,-0.012817152,-0.00627305,0.00936443,0.00078667
42,Jul-201,12.479856,2033.527954,0.000341725,-0.002995505,-0.00047183,0.01882742,0.01646589
41,Aug-201,12.331872,2103.949951,0.000333389,0.021528464,0.00032043,-0.01865599,-0.00391502
40,Sep-201,12.231606,2063.543213,0.00040008,-0.027708867,0.00505892,-0.01080521,0.02278612
39,Oct-2014,12.718884,2006.865601,0.000325053,-0.00687625,-0.01031213,-0.01378086,0.04545745
38,Nov-2014,12.628036,2160.134521,0.000341725,0.02921873,-0.02101518,-0.01812527,0.0277711
37,Dec-2014,12.449167,2116.838867,0.000325053,-0.015971088,0.03944724,0.00051833,0.00906418
36,Jan-201,11.644658,2360.098145,0.000283374,0.02623832,-0.03154786,-0.02346357,0.0325936
35,Feb-201,13.154149,2308.546631,0.000333389,0.037278027,0.01440126,0.03169539,-0.05486341
34,Mar-201,12.084234,2284.713135,0.000366734,-0.016659667,0.02118027,-0.01406964,0.05154257
33,Apr-201,13.234254,2326.105713,0.000350061,0.030351494,-0.00154173,0.01573314,-0.05625679
32,May-201,13.898488,2360.387939,0.000383407,0.013490182,0.03836923,-0.021919,0.02609777
31,Jun-201,13.879022,2232.026123,0.000408417,-0.057481753,0.04553318,-0.0116472,0.00278034
30,Jul-201,15.179125,2376.73999,0.00040008,0.023983077,0.00085665,-0.03970913,0.07413823
29,Aug-201,13.465351,2144.543457,0.00037507,-0.053230864,0.03323951,-0.01828462,0.0202182
28,Sep-201,12.522512,2211.818604,0.000391743,-0.027319873,-0.00359417,-0.03906863,0.07447879
27,Oct-2015,12.056519,2382.274902,0.00040008,0.046969709,-0.03952292,0.02629465,-0.02857554
26,Nov-2015,11.395657,2351.637939,0.00040008,0.005716276,-0.00907179,-0.03401955,0.02953799
25,Dec-2015,11.026984,2428.394043,0.000391743,-0.012718428,0.02581081,-0.00884548,0.04450505
24,Jan-201,9.172136,2559.916748,0.00040008,-0.030815226,-0.04980502,0.01009455,0.02050437
23,Feb-201,8.032001,2565.724854,0.000391743,0.008032086,-0.02207787,-0.02156368,-0.07856099
